Ticker
INSLIBB ID Equity
PCRGA1A LX Equity
SKAGEIC GR Equity
SKWBINA AV Equity
TIBEBOP LX Equity
KBI7791 BB Equity
QCCENEA LX Equity
LGECBZI LX Equity
OBJEC12 FP Equity
ESOBREU PL Equity
SEIEFEI ID Equity
PRUEIGD LX Equity
LGEHACZ LX Equity
SGBCORT GR Equity
SEIECEI ID Equity
NAGCCEU GR Equity
GAMAOBG FP Equity
AMFOR4E FP Equity
AEAMECR NA Equity
ERFORBO GA Equity
KEMPECJ LX Equity
AAFISDW LX Equity
PTU2107 BB Equity
AXWE13C LX Equity
EBSCBUI GR Equity
HSBCIGB GA Equity
DEKCCFA GR Equity
HHECBAA LX Equity
BGLIQAY LX Equity
BRIGIEA ID Equity
KDBONDF SV Equity
DVGSELR GR Equity
AKGOBPB FH Equity
AKTIVPO GR Equity
NECCBPE LX Equity
PELADIA ID Equity
TERRIPA GR Equity
ALEUINB GA Equity
NEDCBIE LX Equity
DELDBDF GA Equity
BBGRABF LX Equity
AMLCEIC FP Equity
INSAEAC ID Equity
SABCPEU SM Equity
NVCJL21 FP Equity
DELEURB GA Equity
EVLEIGA FH Equity
CUENFON SM Equity
SPARFND AV Equity
MERESGI LX Equity
UNIMMEC LX Equity
FESAYDE LX Equity
SPEZIAL AV Equity
PIELEUR LX Equity
FFEUSBE LX Equity
BERSAKI GR Equity
EDCPBPE LX Equity
UBSEURB LX Equity
BPSBSTP FP Equity
MERPERG FH Equity
ROECRBD LX Equity
MIGSEBI LX Equity
LAMEURT GR Equity
KRNDEKA GR Equity
ALPEUBI GA Equity
MANEGBI FH Equity
EURAP19 IM Equity
EUCPBDA AV Equity
STPECBA LX Equity
YCAPECA LX Equity
UBMSEUY LX Equity
EUCOBOA GR Equity
CIBERNX SM Equity
BPBCBCD BB Equity
EURMRED IM Equity
CAXPS10 SM Equity
WESECBB LX Equity
BNPEFBA FP Equity
HYRNPLT AV Equity
TECBAYE LX Equity
KBCGPC8 LX Equity
VORLBGI AV Equity
ECUCAPR FP Equity
CAE50N2 FP Equity
KEPHGRA AV Equity
UBSEBSI SW Equity
IONFXIN GA Equity
BAWOKOA AV Equity
PPINGEI SM Equity
KBEODCC BB Equity
CAE50N3 FP Equity
AXWE10C LX Equity
PLESTRF SM Equity
ANTCEUR IM Equity
MFSTBRE LX Equity
CREFICC FP Equity
PAESSCC LX Equity
AXWE71C LX Equity
INNCBPT AV Equity
DEUVERR GR Equity
DBAREND GR Equity
SUKCCSI ID Equity
FCPOPOO FP Equity
DTEUROZ GR Equity
EUROREN GR Equity
SCECBIA LN Equity
SANEUBA LX Equity
SCHPOEI FP Equity
IBEPEII SM Equity
UNIRESF LX Equity
AMUEBEC FP Equity
GESNORT SM Equity
INVECBA LX Equity
AXAEGBA LX Equity
PLEECBI LX Equity
PLESTRE SM Equity
AXWE35C LX Equity
ALEUGBD GA Equity
LEGEUCB ID Equity
MILLGEU LX Equity
PLAANDA SM Equity
EIFECBB LX Equity
BEROLRD GR Equity
BGINOBA FP Equity
AXABDEC BB Equity
AXWE57C LX Equity
MESAGMD LX Equity
RAFR272 AV Equity
RAFR274 AV Equity
PIOEABA LX Equity
CAXPL30 SM Equity
LZFINDA FP Equity
AHORPRE SM Equity
COMEURO FP Equity
UNIPLIV SM Equity
CSESPFE LX Equity
NORSVRG FH Equity
LAMSTUN GR Equity
DUEBEAI LX Equity
OPEUYRI FH Equity
AGRSPAN SM Equity
BANRF2G SM Equity
CRECFON SM Equity
NSVEIKK FH Equity
PVVUNTE LX Equity
UNIPIII SM Equity
MSNLDIM ID Equity
PQMFCCL LX Equity
